Cycle,Label Set Size,Backward Steps,Accuracy,Precision,Recall,F1
1,1000,1466,15.430000162124633,0.25247727697073374,0.1543,0.14409760602281788
2,2000,1626,22.8600004196167,0.2590647432716967,0.2286,0.22344107420160422
3,3000,1866,29.200000476837157,0.3224622310194712,0.292,0.29279246516291857
4,4000,2186,33.94000120162964,0.3598909484677484,0.3394,0.3393835207496028
5,5000,2586,38.720000648498534,0.41108881574399203,0.3872,0.38868094768638656
6,6000,3056,44.300000762939455,0.4592171084102395,0.443,0.4432642855168378
7,7000,3606,48.5700008392334,0.4984166210630543,0.4857,0.4846276548621328
8,8000,4236,52.78000068664551,0.54129285441905,0.5278,0.5282526198686741
9,9000,4946,56.26000118255615,0.5733783867038593,0.5626,0.5629833056103694
10,10000,5736,58.63000068664551,0.5982426008758893,0.5863,0.5868719737603698
11,11000,6596,62.29000072479248,0.6320822678842614,0.6229,0.6230054260307947
12,12000,7536,65.42000179290771,0.6638333143744991,0.6542,0.6539999020630743
13,13000,8556,67.92000160217285,0.6869258941889903,0.6792,0.6783033389684395
14,14000,9656,70.74000129699706,0.7141178730474249,0.7074,0.7063628003062988
15,15000,10836,72.60000114440918,0.7323396274620495,0.726,0.7247691487343645
16,16000,12086,74.92000198364258,0.7546271628504702,0.7492,0.7475955913535145
17,17000,13416,77.37000160217285,0.778504489547096,0.7737,0.771541181545124
18,18000,14826,79.08000259399414,0.7938044534636498,0.7908,0.7892767536507558
19,19000,16316,80.83000183105469,0.8107574795422134,0.8083,0.806850276687864
20,20000,17886,82.3700008392334,0.8263536590554406,0.8237,0.8218842033539575
21,21000,19536,83.84000205993652,0.843843234723978,0.8384,0.836799456610269
22,22000,21256,85.35000152587891,0.8569385720024902,0.8535,0.8517022643289601
23,23000,23056,86.43000106811523,0.8688140903230523,0.8643,0.8628329853937167
24,24000,24936,87.62000160217285,0.8795311859410924,0.8762,0.8748541529553991
25,25000,26896,89.14000129699707,0.8949469573392261,0.8914,0.8899422996905195
26,26000,27176,85.94000091552735,0.86313800110818,0.8594,0.8581508093042505
27,27000,27466,85.4200008392334,0.8567270838497796,0.8542,0.8537782977529296
28,28000,27756,87.51000175476074,0.8767127029893061,0.8751,0.8747685164887676
29,29000,28716,91.55000076293945,0.9167376579049343,0.9155,0.9153552451522415
